date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-06-18,255.2,232,255.2,0,255.2,79,680,170790.6
2023-06-19,280.7,260.3,280.7,255.2,25.5,304,9227,2589508.9
2023-06-20,297.8,267.1,270.2,280.7,-10.5,2410,39591,11063790
2023-06-21,275,255.3,255.4,270.2,-14.799999999999983,1791,26510,6938501.7
2023-06-22,260,246.2,247.2,255.4,-8.200000000000017,978,13557,3404395.2
2023-06-25,257,235.7,252,247.2,4.800000000000011,1040,18370,4482019.1
2023-06-26,260,246.7,248,252,-4,533,9432,2377626.6
2023-06-27,250.7,243.6,247.3,248,-0.6999999999999886,641,15028,3714840.4
2023-06-28,251,243,251,247.3,3.6999999999999886,617,12380,3068466.5
2023-07-02,252,241.9,247.1,251,-3.9000000000000057,530,8642,2122165
2023-07-03,247.8,238,241.9,247.1,-5.199999999999989,442,7620,1835218.5
2023-07-04,251.6,235,251.6,241.9,9.699999999999989,388,4536,1085463
2023-07-05,246.6,232.3,240.7,251.6,-10.900000000000006,353,9616,2286042.4
2023-07-06,240,225.5,237,240.7,-3.6999999999999886,445,7785,1806787.2
2023-07-09,237,230,237,237,0,474,7452,1736362
2023-07-10,235,227.1,227.3,237,-9.699999999999989,377,5025,1160528
2023-07-11,231,220.3,225,227.3,-2.3000000000000114,300,5420,1212667
2023-07-12,234,221.1,230,225,5,354,12039,2760813
2023-07-13,234,225.8,226,230,-4,247,4160,955916
2023-07-16,226,221.9,226,226,0,254,2868,639215.4
2023-07-17,234.4,221.6,229.5,226,3.5,337,5821,1328198.5
2023-07-18,234,225.1,227.8,229.5,-1.6999999999999886,304,4660,1067590
2023-07-19,232.7,225.1,232.7,227.8,4.899999999999977,282,4060,927591
2023-07-20,236.6,224,233.3,232.7,0.6000000000000227,325,8052,1863407.7
2023-07-23,241,226.1,240.4,233.3,7.099999999999994,386,6190,1455971.5
2023-07-24,249,228.8,240,240.4,-0.4000000000000057,273,8370,1997072
2023-07-25,249.4,230.1,238,240,-2,228,5154,1219954.9
2023-07-26,238,231.1,237,238,-1,230,5390,1267167
2023-07-27,241,228.4,234,237,-3,202,11928,2754092.6
2023-07-30,238,226.5,237,234,3,224,4065,935906
2023-07-31,237,230,230,237,-7,251,4160,969022.5
2023-08-01,232,224.4,224.4,230,-5.599999999999994,271,5149,1171091.9
2023-08-02,229.5,223.1,224.9,224.4,0.5,172,3087,694621.1
2023-08-03,228.4,218.1,227,224.9,2.0999999999999943,256,3583,797993
2023-08-06,222.5,215.2,219,227,-8,232,2760,600043
2023-08-07,224.1,211.3,224.1,219,5.099999999999994,388,9805,2117476
2023-08-08,219.7,213.3,218,224.1,-6.099999999999994,264,3010,648243
2023-08-09,221,209,221,218,3,260,3050,642837
2023-08-10,218,212.4,215,221,-6,211,2380,510734
2023-08-13,226,210,222,215,7,373,6103,1301277
2023-08-14,218,209.9,215,222,-7,292,4390,930876
2023-08-15,210.7,205,209.9,215,-5.099999999999994,213,4360,903213
2023-08-16,206,195.3,204,209.9,-5.900000000000006,260,11061,2218301
2023-08-17,204.1,194,195,204,-9,183,6473,1283155.5
2023-08-20,196.8,189,189.1,195,-5.900000000000006,171,2630,503227
2023-08-21,189.7,174,177.9,189.1,-11.199999999999989,222,9764,1751005.8
2023-08-22,181,169,179,177.9,1.0999999999999943,177,11235,1932966
2023-08-23,193.4,175.5,193,179,14,206,5716,1071104
2023-08-24,196.8,178.2,183,193,-10,158,7035,1314627
2023-08-27,182,172.6,173.9,183,-9.099999999999994,175,5293,922001.4
2023-08-28,182,165.2,175.7,173.9,1.799999999999983,122,3666,640693.4
2023-08-29,179.1,171,178.4,175.7,2.700000000000017,127,2420,427437
2023-08-30,178,172.5,178,178.4,-0.4000000000000057,118,3420,603732
2023-09-03,179.5,171.1,172.1,178,-5.900000000000006,147,3213,562800.9
2023-09-04,181,169,181,172.1,8.900000000000006,164,2521,441818.9
2023-09-05,185.5,177.4,182.5,181,1.5,115,2158,392574.5
2023-09-07,182,173.1,177.8,182.5,-4.699999999999989,100,2060,367560.5
2023-09-10,195.5,174.7,195.5,177.8,17.69999999999999,226,11079,2105005.6
2023-09-11,215,188.5,215,195.5,19.5,444,21704,4599843.6
2023-09-12,228,210.7,221.8,215,6.800000000000011,308,12813,2826161.6
2023-09-13,230.7,211,230.5,221.8,8.699999999999989,262,15611,3418131.2
2023-09-17,226,207.5,211,230.5,-19.5,273,16666,3567791
2023-09-18,230.5,207,227.4,211,16.400000000000006,309,17359,3845333.6
2023-09-19,250.1,224,250.1,227.4,22.69999999999999,842,53540,13071077.7
2023-09-21,275.1,252,263,250.1,12.900000000000006,740,34003,9122752.8
2023-09-24,261,242.8,256,263,-7,456,34621,8790727.6
2023-09-25,272.2,245.9,258,256,2,420,22465,5854890.6
2023-09-26,283.8,253.1,283.8,258,25.80000000000001,797,60611,16733803.7
2023-09-27,307,284,296,283.8,12.199999999999989,674,43905,12921655.7
2023-10-01,290.1,266.4,266.5,296,-29.5,380,37214,10190305.2
2023-10-02,280.5,256,270.1,266.5,3.6000000000000227,361,22345,6033952.1
2023-10-03,279,259.7,270,270.1,-0.10000000000002274,293,27361,7423286.7
2023-10-04,274.9,262.1,269,270,-1,248,10834,2923849
2023-10-05,275,261.1,267,269,-2,235,9505,2507906.9
2023-10-08,261.7,249.9,261,267,-6,329,20619,5233062.5
2023-10-09,265,249.1,259,261,-2,205,17646,4555001.1
2023-10-10,257,250,256.9,259,-2.1000000000000227,162,6610,1670348
2023-10-11,262,248.5,257,256.9,0.10000000000002274,183,11400,2893817
2023-10-12,256,243.8,254,257,-3,248,16547,4102682.4
2023-10-16,259,235,241,254,-13,190,5916,1404197.9
2023-10-17,249.8,233,237.9,241,-3.0999999999999943,147,10905,2612167.7
2023-10-18,246.6,229.1,240,237.9,2.0999999999999943,122,10427,2506407
2023-10-19,259,233.4,234.5,240,-5.5,130,12799,3078737.7
2023-10-29,244.4,226.3,231.1,234.5,-3.4000000000000057,115,4250,983476.6
2023-10-30,238.1,226.5,238.1,231.1,7,137,5010,1152500
2023-10-31,233.4,220.5,227.9,238.1,-10.199999999999989,79,5713,1277597.9
2023-11-01,231,215.1,225.9,227.9,-2,109,4614,1016466.8
2023-11-02,235,208.3,215.8,225.9,-10.099999999999994,114,10850,2359128.5
2023-11-05,220,200.1,215.6,215.8,-0.20000000000001705,137,14600,2998131.3
2023-11-06,228,207.1,228,215.6,12.400000000000006,138,8881,1940916
2023-11-07,232.4,211.3,222.3,228,-5.699999999999989,88,5056,1111638.5
2023-11-08,229.5,210.7,223.5,222.3,1.1999999999999886,96,9694,2117306.4
2023-11-09,231.5,210,211.7,223.5,-11.800000000000011,58,3250,700794
2023-11-20,227,211,214,211.7,2.3000000000000114,112,4822,1046167.4
2023-11-21,231.4,208,231.4,214,17.400000000000006,101,5362,1138044.4
2023-11-22,226.8,214.1,224.9,231.4,-6.5,93,10585,2327950.5
2023-11-23,233,215.7,221,224.9,-3.9000000000000057,130,6720,1489748
2023-11-26,233.1,216.7,227,221,6,195,9430,2157793
2023-11-27,242,228.5,238,227,11,327,37615,8855158.2
2023-11-28,261.7,240,254.4,238,16.400000000000006,376,44036,10972189.8
2023-11-29,265,246,248,254.4,-6.400000000000006,163,13885,3500629.5
2023-11-30,252,240.2,240.3,248,-7.699999999999989,178,16325,4013724.8
2023-12-03,246.8,227.1,244,240.3,3.6999999999999886,167,11133,2691325.1
2023-12-04,258,238.6,242.1,244,-1.9000000000000057,164,12005,2935632.6
2023-12-05,243,231.4,233,242.1,-9.099999999999994,120,6745,1597480
2023-12-06,242,229,240,233,7,149,8290,1936913
2023-12-07,244.8,231.9,233,240,-7,187,14945,3580952
2023-12-10,256,237.6,251.9,233,18.900000000000006,23,1700,428219
