date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-10-23,179.7,179.7,179.7,,,17,73,13157.8
2022-10-31,179.7,179.7,179.7,179.7,,3,10,1798.6
2022-11-01,179.7,179.7,179.7,179.7,,7,20,3599
2022-11-06,183.2,177.7,183.2,179.7,3.5,2,20,3609
2022-11-07,198.1,186.8,198.1,183.2,14.900000000000006,6,50,9658.5
2022-11-13,202,202,202,198.1,3.9000000000000057,1,10,2020
2022-11-15,202,202,202,202,0,7,11,2219
2022-11-16,206,202,206,202,4,4,20,4106.6
2022-11-22,222.8,218.5,222.8,214.3,8.5,4,30,6684.4
2022-11-23,231.7,227.2,231.7,222.8,8.899999999999977,2,20,4589
2022-11-27,245.8,236.3,245.8,231.7,14.100000000000023,3,30,7231
2022-11-28,250.7,245.8,250.7,245.8,4.899999999999977,3,20,4926
2022-11-29,266,255.7,266,250.7,15.300000000000011,3,30,7825
2022-12-01,292.6,271.3,292.6,266,26.600000000000023,7,60,17032
2022-12-04,321.8,298.4,321.8,292.6,29.19999999999999,11,90,28160.3
2022-12-06,348.1,328.2,348.1,321.8,26.30000000000001,5,47,16000.3
2022-12-07,355,355,355,348.1,6.899999999999977,2,14,4948.8
2022-12-11,376.6,362.1,376.6,355,21.600000000000023,4,36,13268.2
2022-12-12,399.5,384.1,399.5,376.6,22.899999999999977,3,30,11753
2022-12-13,407.4,407.4,407.4,399.5,7.899999999999977,1,10,4074
2022-12-14,440.8,415.5,440.8,407.4,33.400000000000034,4,40,17123
2022-12-15,458.5,440.8,458.5,440.8,17.69999999999999,3,30,13489
2022-12-18,496.1,458.5,496.1,458.5,37.60000000000002,5,43,20626.3
2022-12-19,545.7,506,545.7,496.1,49.60000000000002,5,50,26311
2022-12-20,600.2,556.6,600.2,545.7,54.5,6,57,32867.7
2022-12-21,649.5,612.2,649.5,600.2,49.299999999999955,4,40,25229
2022-12-22,714.4,662.4,714.4,649.5,64.89999999999998,5,50,34443
2022-12-26,785.8,728.6,785.8,714.4,71.39999999999998,9,90,69316
2022-12-27,864.3,801.5,864.3,785.8,78.5,7,70,58961
2022-12-28,950.7,881.5,950.7,864.3,86.40000000000009,9,90,83864
2022-12-29,1045.7,969.7,1045.7,950.7,95,19,190,196817
2023-01-01,1150.2,1066.5,1150.2,1045.7,104.5,23,220,250359
2023-01-02,1265.2,1150.2,1265.2,1150.2,115,23,200,249698
2023-01-03,1391.7,1265.2,1391.7,1265.2,126.5,60,1583,2199341.1
2023-01-04,1530.8,1295,1375,1391.7,-16.700000000000045,1400,15505,21387729
2023-01-05,1512.5,1330,1512.5,1375,137.5,529,5812,8138467.4
2023-01-08,1662,1440.6,1599,1512.5,86.5,407,8886,14070099.4
2023-01-09,1630,1540,1560,1599,-39,253,5379,8450044
2023-01-10,1591.2,1462,1463,1560,-97,342,4746,7156685
2023-01-12,1492.2,1365,1380,1463,-83,287,4615,6485600.6
2023-01-17,1405,1350,1392,1380,12,231,3272,4475084.7
2023-01-18,1402,1367,1376,1392,-16,128,2427,3371072
2023-01-19,1375,1351.2,1360,1376,-16,141,1875,2551527.3
2023-01-23,1387.3,1335,1346,1360,-14,145,2469,3359832
2023-01-24,1356,1327.1,1351,1346,5,132,2131,2867559
2023-01-25,1397,1330,1367,1351,16,126,2290,3130563.5
2023-01-26,1421,1362,1365,1367,-2,87,1160,1590298
2023-01-29,1369.9,1345,1369.9,1365,4.900000000000091,85,1215,1645647
2023-01-30,1360,1327,1332.1,1369.9,-37.80000000000018,86,1385,1858310.5
2023-01-31,1338,1308.1,1312,1332.1,-20.09999999999991,109,1250,1644237
2023-02-01,1325,1286,1311,1312,-1,87,1274,1676213
2023-02-02,1326,1280,1297,1311,-14,83,1767,2280727.8
2023-02-05,1280,1255,1258,1297,-39,82,1300,1645093
2023-02-06,1260,1235,1260,1258,2,66,730,906933
2023-02-07,1300,1261,1300,1260,40,72,910,1173310
2023-02-08,1350,1301,1340,1300,40,87,1950,2579655
2023-02-09,1340,1315.3,1337,1340,-3,38,768,1020583
2023-02-12,1310.3,1280,1298.9,1337,-38.09999999999991,54,940,1216193
2023-02-14,1290,1262,1280,1298.9,-18.90000000000009,51,830,1053371
2023-02-15,1274,1235.1,1274,1280,-6,65,915,1145148.1
2023-02-16,1298.9,1220.1,1220.1,1274,-53.90000000000009,41,790,974574
2023-02-20,1215,1196,1200.1,1220.1,-20,70,941,1132176
2023-02-22,1198,1166.2,1185,1200.1,-15.099999999999909,81,1484,1755714
2023-02-23,1161.5,1066.5,1066.5,1185,-118.5,96,1281,1373619.5
2023-02-26,1087,959.9,1067,1066.5,0.5,160,3309,3300800.5
2023-02-27,1088.3,990.5,1020,1067,-47,89,2280,2324003.5
2023-02-28,1020,990,1001,1020,-19,47,745,748520
2023-03-01,1076,995,995,1001,-6,32,1470,1490898
2023-03-02,995,968,968,995,-27,24,350,343021
2023-03-05,987.3,920.3,920.3,968,-47.700000000000045,41,1025,948706
2023-03-07,940,896,911,920.3,-9.299999999999955,29,758,690628
2023-03-09,945,894,930,911,19,43,743,676665
2023-03-12,929,880,897,930,-33,46,1291,1147069.3
2023-03-13,895,863.1,895,897,-2,38,880,763472
2023-03-14,877.1,860.7,870,895,-25,23,270,234479
2023-03-15,880,845.1,859,870,-11,23,585,500452
2023-03-16,860,833.5,840,859,-19,28,877,736907
2023-03-19,845,825,828.2,840,-11.799999999999955,23,560,468629
2023-03-20,846.6,805,846.6,828.2,18.399999999999977,41,1054,858559.5
2023-03-22,863,801,801,846.6,-45.60000000000002,33,1332,1082382
2023-03-23,815,777,777,801,-24,45,1430,1122823.2
2023-03-26,770,746,746.1,777,-30.899999999999977,52,720,544264
2023-03-27,761,725,725,746.1,-21.100000000000023,35,1110,812982
2023-03-28,780,725,754,725,29,37,731,555620
2023-03-29,795.5,760,793,754,39,31,466,362841
2023-03-30,799.9,765.6,768.7,793,-24.299999999999955,30,411,319952.6
2023-04-02,766.5,749,749,768.7,-19.700000000000045,31,674,508137.3
2023-04-03,752,734,751,749,2,20,240,177789
2023-04-04,750,725,725,751,-26,27,340,249784
2023-04-05,768,730.5,731,725,6,19,205,153619
2023-04-06,745,730,740,731,9,25,525,385622
2023-04-09,739.9,725.3,725.6,740,-14.399999999999977,18,210,153149
2023-04-10,730,716,730,725.6,4.399999999999977,10,100,72450
2023-04-11,743.9,725,743.9,730,13.899999999999977,16,342,249764.9
2023-04-12,800,745,800,743.9,56.10000000000002,33,352,273203.1
2023-04-13,816,760.2,762,800,-38,43,975,765236
2023-04-16,816,750,805,762,43,66,2526,2031317.9
2023-04-17,820,791,792,805,-13,19,492,390950
2023-04-18,807,776.7,785,792,-7,18,185,145314.5
2023-04-19,840,780.1,840,785,55,50,1233,1012369.1
2023-04-20,924,825,869.9,840,29.899999999999977,46,866,735024.4
2023-04-23,870,810.1,829,869.9,-40.89999999999998,36,825,682376
2023-04-24,820,800.1,820,829,-9,31,545,443377
2023-04-25,870.1,791.3,791.3,820,-28.700000000000045,40,925,744489
2023-04-26,810,774.2,774.2,791.3,-17.09999999999991,50,2690,2099564.3
2023-04-27,770,745,764,774.2,-10.200000000000045,42,2344,1761314
2023-04-30,770.2,750,760,764,-4,32,325,246665
2023-05-02,759.9,740,740,760,-20,28,390,291538.5
2023-05-03,750,727.1,740,740,0,15,185,136846
2023-05-04,740,720.1,723,740,-17,37,570,415489.2
2023-05-07,730,711.1,720,723,-3,20,200,143706
2023-05-08,725,690,690,720,-30,38,824,579806
2023-05-09,700,677,685.1,690,-4.899999999999977,32,1554,1060474
