date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-01-04,213.7,194.3,213.7,0,213.7,38,370,78066.7
2023-01-05,235,217.9,235,213.7,21.30000000000001,37,370,86528
2023-01-08,258.5,239.7,258.5,235,23.5,43,430,110689
2023-01-09,284.3,263.6,284.3,258.5,25.80000000000001,34,340,96150
2023-01-10,312.7,289.9,312.7,284.3,28.399999999999977,114,1140,355915
2023-01-12,343.9,318.9,343.9,312.7,31.19999999999999,289,2890,993256
2023-01-17,378.2,350.7,378.2,343.9,34.30000000000001,438,4980,1880773
2023-01-18,416,385.7,416,378.2,37.80000000000001,912,16324,6779761
2023-01-19,439.6,401.2,419.1,416,3.1000000000000227,1818,21229,8857146.3
2023-01-23,420,405,412,419.1,-7.100000000000023,796,11120,4583428
2023-01-24,412,400,408,412,-4,612,6710,2725917
2023-01-25,448.8,402.1,442,408,34,524,13179,5613533.4
2023-01-26,486.2,442.1,486.2,442,44.19999999999999,394,10923,5121572.3
2023-01-29,534.8,487,534.8,486.2,48.599999999999966,452,21198,11070296.2
2023-01-30,588.2,545.4,569.9,534.8,35.10000000000002,971,38326,21904852.5
2023-01-31,611.9,539,611.9,569.9,42,711,15594,8887087
2023-02-01,611.9,571,596,611.9,-15.899999999999977,532,15763,9300593.5
2023-02-02,600,560.6,573,596,-23,441,18237,10521047.3
2023-02-05,573.9,540.8,567,573,-6,438,16040,8913865.5
2023-02-06,555.7,537,540.5,567,-26.5,282,5651,3085572.5
2023-02-07,572,536.2,558.9,540.5,18.399999999999977,317,8910,4905884
2023-02-08,600,538,570,558.9,11.100000000000023,272,9113,5079178.2
2023-02-09,627,548,627,570,57,652,38364,22831293
2023-02-12,653,592,641.5,627,14.5,702,33770,21324847.4
2023-02-14,630,600,609,641.5,-32.5,425,22781,14009635.7
2023-02-15,654.7,590,654.7,609,45.700000000000045,319,11799,7163455.9
2023-02-16,647,600.1,640,654.7,-14.700000000000045,276,21239,13154589
2023-02-20,677.2,603.1,610,640,-30,274,14501,9022807.3
2023-02-22,640,600.2,629,610,19,294,14040,8705003
2023-02-23,617,598,598,629,-31,165,7752,4680497.8
2023-02-26,601.8,552.8,601.8,598,3.7999999999999545,164,6556,3812573
2023-02-27,610,570,584,601.8,-17.799999999999955,96,8772,5101242.5
2023-02-28,579,562,568,584,-16,93,2920,1657967
2023-03-01,594,550,594,568,26,130,5891,3333441.5
2023-03-02,605.8,547,565.9,594,-28.100000000000023,123,5055,2804012.5
2023-03-05,577,535,539,565.9,-26.899999999999977,73,870,469487
2023-03-07,549,528.3,528.3,539,-10.700000000000045,85,1197,639669.1
2023-03-09,549.5,510,544.9,528.3,16.600000000000023,124,5017,2647553.6
2023-03-12,561,529.4,543,544.9,-1.8999999999999773,125,7145,3853194
2023-03-13,538.9,517.7,535,543,-8,75,1255,662018
2023-03-14,555,515.1,554,535,19,68,1097,588865
2023-03-15,572,525.1,525.1,554,-28.899999999999977,52,1629,875302.7
2023-03-16,535,516.2,522,525.1,-3.1000000000000227,120,7001,3687913
2023-03-19,550,512,521.2,522,-0.7999999999999545,75,2811,1479374
2023-03-20,541.9,521.2,525,521.2,3.7999999999999545,83,2650,1400086
2023-03-22,540,520,530,525,5,65,3761,1990530
2023-03-23,526,514.9,525,530,-5,83,3050,1583351.5
2023-03-26,521,505,505.3,525,-19.69999999999999,129,4475,2288270.2
2023-03-27,515.4,496.2,514,505.3,8.699999999999989,68,4281,2157404.6
2023-03-28,524.2,504,504,514,-10,92,3040,1559678.9
2023-03-29,510,490.1,496,504,-8,113,2171,1078149
2023-03-30,510,498.1,500,496,4,96,1801,903301
2023-04-02,530,495.2,495.2,500,-4.800000000000011,90,7517,3758986
2023-04-03,497.8,485.4,497.8,495.2,2.6000000000000227,43,546,268138.8
2023-04-04,497,473,494.7,497.8,-3.1000000000000227,63,2230,1071836
2023-04-05,513.9,480,510,494.7,15.300000000000011,88,4043,2003135.2
2023-04-06,507.9,490.2,492.6,510,-17.399999999999977,69,2252,1119435
2023-04-09,485,475.4,476,492.6,-16.600000000000023,43,3012,1438935
2023-04-10,504,467.2,504,476,28,65,1610,765273
2023-04-11,509.9,484.1,509.9,504,5.899999999999977,79,1447,720156
2023-04-12,520.2,485,518.6,509.9,8.700000000000045,131,10477,5371296.4
2023-04-13,524.8,493.2,509,518.6,-9.600000000000023,101,5005,2525420.4
2023-04-16,505,490,503,509,-6,65,1560,774402
2023-04-17,502.8,486,500,503,-3,51,1430,697919
2023-04-18,494,479,479,500,-21,57,2555,1237675.5
2023-04-19,489.6,472,481,479,2,85,2205,1057712.2
2023-04-20,490.6,474,483,481,2,49,1721,818774
2023-04-23,492.6,456,472,483,-11,42,500,234305
2023-04-24,470,460,464,472,-8,69,1500,692901
2023-04-25,482.5,456.2,481.9,464,17.899999999999977,81,2249,1066060
2023-04-26,491.5,475,479.9,481.9,-2,54,1163,555924.7
2023-04-27,488,465.6,470,479.9,-9.899999999999977,73,2224,1054719.4
2023-04-30,468,460,468,470,-2,50,1570,725170
2023-05-02,477,457.3,463,468,-5,45,660,303679
2023-05-03,456,448,455,463,-8,43,820,369014
2023-05-04,471,435,441,455,-14,59,1515,674816
2023-05-07,449.9,440,445,441,4,30,1340,594390
2023-05-08,440,432.3,440,445,-5,30,840,367183
2023-05-09,454.9,435,444.9,440,4.899999999999977,38,550,244738
2023-05-10,471,428,471,444.9,26.100000000000023,59,2495,1092823
2023-05-11,461.6,440,445,471,-26,73,2647,1177276.3
2023-05-14,462.9,435,461.8,445,16.80000000000001,67,2570,1128584
2023-05-15,471,437.1,437.1,461.8,-24.69999999999999,21,695,312162
2023-05-16,453.9,428.4,448,437.1,10.899999999999977,61,910,400610
2023-05-17,448.8,432,447.1,448,-0.8999999999999773,32,670,297446
2023-05-18,458,439.5,454,447.1,6.899999999999977,84,2044,919701.5
2023-05-21,461,440,452.8,454,-1.1999999999999886,67,3254,1463214.2
2023-05-22,466,436.1,460,452.8,7.199999999999989,65,2275,1007975
2023-05-23,473,446,472,460,12,72,2631,1214270.5
2023-05-24,471.8,455.1,470,472,-2,80,2841,1316303
2023-05-28,479.4,446.2,461,470,-9,98,3122,1430723.4
2023-05-30,465,440,459,461,-2,47,3425,1525899
2023-05-31,454,436,438.1,459,-20.899999999999977,55,2040,900423
2023-06-01,445.7,430,440,438.1,1.8999999999999773,60,2319,1008106.5
